freshwater_id;originalname;othernames;flag;lat;lon;country;ICES_GUID;ICES_key;ICES_GUID_duplicate;
;81;;what is this;;;;;;;
;83;;what is this;;;;;;;
;Fauler Bach/Plastbach;;OL, WALD, UL, Bach;;;Germany;;;;
;ff_01;;!;;;Germany;;;;
;ff_04;;!;;;Germany;;;;
;ff_05_b;;!;;;Germany;;;;
;ff_06_b;;!;;;Germany;;;;
;ff_07;;!;;;Germany;;;;
;ff_08;;!;;;Germany;;;;
;ff_09_a;;!;;;Germany;;;;
;ff_09_b;;!;;;Germany;;;;
;ff_10;;!;;;Germany;;;;
;ff_16;;!;;;Germany;;;;
;Fiskars å;;;58.5064535;13.1587136;Sweden;62265eba-0b73-44e3-9218-1bb8e8fdb2e9;FI82002;;
;Fiskarsinjoki;;;;;;;;;
;Fjärdsbäcken;;;65.8068293;22.6311943;Sweden;bc25ccba-fde6-4994-96bd-ffdae0dbaf36;FI84011;;
;Fladmose Å;;;55.2310069;11.4131787;Denmark;fc74cae6-fd69-4ec8-a91e-a03808f62690;DK0616;;
;Fladsø Rende;;;54.8600146;11.0855717;Denmark;dba86f28-f1cc-41be-b684-a130baa3501c;DK0830;;
;Flædbæk;;;55.0121479;9.9061561;Denmark;d03511bf-9fbc-4b1e-8d75-c117499622b3;DK1113;;
;Flakvad Rende;;;55.8763413;12.5370818;Denmark;d59bea75-95e5-497d-a038-054147b18796;DK0212;;
;Flaruper Au;;;54.6570145;9.763404;Germany;;;;
;Flaßlandbek;;;;;;;;;
;Flintinge Å;;;54.7472695;11.788491;Denmark;9b3958ea-14f6-48f5-bfac-7c2db6069e2b;DK0714;;
;Flisebæk;;;55.1000027;15.1464176;Denmark;730992f8-6147-4788-b843-72879cf77d25;DK0119a;;
;Flybäcksdiket;;;62.3047782;21.38581;Finland;bcb6a44c-fc30-4a43-8978-4eee5df68ce1;FI83087;;
;Forsmarksån;;;60.3568739;18.1928976;Sweden;a78ff394-a7c0-43f8-bbcf-d7efcfa60086;SE55000;;
;Frejlev Å;;;54.7017658;11.758116;Denmark;52b4b1a9-27a4-405b-b1db-e24883ccc0e1;DK0716;;
;Fruebæk;;;;;Denmark;;;;
;Fruerskov Bæk;;;55.088286;10.648024;Denmark;;;;
;Fuglebæk Kanal;;;56.025155;12.11964;Denmark;5cbd2aa2-f96f-4049-92dd-08d00b0ef62b;DK0630;;
;Fuglebæks Å;;;55.6675554;11.1267094;Denmark;51bac7f6-f361-41f9-a205-c960204e8af4;DK0406;;
;Funen;;;55.32465655;10.34714169;Denmark;;;;
;Fylleån;;;56.7107982;13.1072956;Sweden;fbd72ac2-be6b-4851-81c8-28dc99409a2e;SE100000;;
;Fällforsån;;;64.0931509;20.1588535;Sweden;;;;
;Gærde Å;;;;;;820ee9b4-11f3-47ce-9b82-e0c468d28f37;DK0405;;
;Gammelbybäcken;;;60.48515;25.92583;Finland;cf78f110-473a-409d-b516-b984dbb4b778;FI81032;;
;Gammelström;;;62.0282732;21.3443018;Finland;674b993c-7e27-43e8-b0f9-21db9f1cecf9;FI83075;;
